symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
ATAUSDT.6,6,ATAUSDT,ATA,USDT,,True,True,STABLE,BASE_ASSET,True,True
DODOXUSDT_PERP.A,A,DODOXUSDT,DODOX,USDT,,True,True,STABLE,BASE_ASSET,True,True
WAXPUSDT.6,6,WAXPUSDT,WAXP,USDT,,True,True,STABLE,BASE_ASSET,True,True
LSKUSDT.6,6,LSKUSDT,LSK,USDT,,True,True,STABLE,BASE_ASSET,True,True
OXTUSDT_PERP.A,A,OXTUSDT,OXT,USDT,,True,True,STABLE,BASE_ASSET,True,True
BONDUSDT.6,6,BONDUSDT,BOND,USDT,,True,True,STABLE,BASE_ASSET,True,True
RPLUSDT_PERP.A,A,RPLUSDT,RPL,USDT,,True,True,STABLE,BASE_ASSET,True,True
MINAUSDT_PERP.A,A,MINAUSDT,MINA,USDT,,True,True,STABLE,BASE_ASSET,True,True
AXLUSDT.6,6,AXLUSDT,AXL,USDT,,True,True,STABLE,BASE_ASSET,True,True
METISUSDT.6,6,METISUSDT,METIS,USDT,,True,True,STABLE,BASE_ASSET,True,True
SYSUSDT_PERP.A,A,SYSUSDT,SYS,USDT,,True,True,STABLE,BASE_ASSET,True,True
JTOUSDT.6,6,JTOUSDT,JTO,USDT,,True,True,STABLE,BASE_ASSET,True,True
ONGUSDT.6,6,ONGUSDT,ONG,USDT,,True,True,STABLE,BASE_ASSET,True,True
MANAUSD_PERP.A,A,MANAUSD_PERP,MANA,USD,,True,True,COIN,QUOTE_ASSET,True,True
COTIUSDT.6,6,COTIUSDT,COTI,USDT,,True,True,STABLE,BASE_ASSET,True,True
MANEKIUSDT.6,6,MANEKIUSDT,MANEKI,USDT,,True,True,STABLE,BASE_ASSET,True,True
PEOPLEUSDT_PERP.A,A,PEOPLEUSDT,PEOPLE,USDT,,True,True,STABLE,BASE_ASSET,True,True
RIFUSDT_PERP.A,A,RIFUSDT,RIF,USDT,,True,True,STABLE,BASE_ASSET,True,True
GALAUSDT.6,6,GALAUSDT,GALA,USDT,,True,True,STABLE,BASE_ASSET,True,True
BANANAUSDT_PERP.A,A,BANANAUSDT,BANANA,USDT,,True,True,STABLE,BASE_ASSET,True,True
ASTRUSDT_PERP.A,A,ASTRUSDT,ASTR,USDT,,True,True,STABLE,BASE_ASSET,True,True
WOOUSDT.6,6,WOOUSDT,WOO,USDT,,True,True,STABLE,BASE_ASSET,True,True
RSS3USDT.6,6,RSS3USDT,RSS3,USDT,,True,True,STABLE,BASE_ASSET,True,True
MERLUSDT.6,6,MERLUSDT,MERL,USDT,,True,True,STABLE,BASE_ASSET,True,True
XVSUSDT_PERP.A,A,XVSUSDT,XVS,USDT,,True,True,STABLE,BASE_ASSET,True,True
SWEATUSDT.6,6,SWEATUSDT,SWEAT,USDT,,True,True,STABLE,BASE_ASSET,True,True
DUSKUSDT.6,6,DUSKUSDT,DUSK,USDT,,True,True,STABLE,BASE_ASSET,True,True
MAGICUSDT_PERP.A,A,MAGICUSDT,MAGIC,USDT,,True,True,STABLE,BASE_ASSET,True,True
AUDIOUSDT.6,6,AUDIOUSDT,AUDIO,USDT,,True,True,STABLE,BASE_ASSET,True,True
1INCHUSDT.6,6,1INCHUSDT,1INCH,USDT,,True,True,STABLE,BASE_ASSET,True,True
FLOWUSDT.6,6,FLOWUSDT,FLOW,USDT,,True,True,STABLE,BASE_ASSET,True,True
ILVUSDT.6,6,ILVUSDT,ILV,USDT,,True,True,STABLE,BASE_ASSET,True,True
C98USDT.6,6,C98USDT,C98,USDT,,True,True,STABLE,BASE_ASSET,True,True
TUSDT_PERP.A,A,TUSDT,T,USDT,,True,True,STABLE,BASE_ASSET,True,True
SFPUSDT.6,6,SFPUSDT,SFP,USDT,,True,True,STABLE,BASE_ASSET,True,True
SHIB1000USDT.6,6,SHIB1000USDT,1000SHIB,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZENUSDT.6,6,ZENUSDT,ZEN,USDT,,True,True,STABLE,BASE_ASSET,True,True
FETUSDT_PERP.A,A,FETUSDT,FET,USDT,,True,True,STABLE,BASE_ASSET,True,True
HIGHUSDT_PERP.A,A,HIGHUSDT,HIGH,USDT,,True,True,STABLE,BASE_ASSET,True,True
GUSDT.6,6,GUSDT,G,USDT,,True,True,STABLE,BASE_ASSET,True,True
SNTUSDT.6,6,SNTUSDT,SNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
DEXEUSDT.6,6,DEXEUSDT,DEXE,USDT,,True,True,STABLE,BASE_ASSET,True,True
BANDUSDT.6,6,BANDUSDT,BAND,USDT,,True,True,STABLE,BASE_ASSET,True,True
BSVUSDT.6,6,BSVUSDT,BSV,USDT,,True,True,STABLE,BASE_ASSET,True,True
BICOUSDT.6,6,BICOUSDT,BICO,USDT,,True,True,STABLE,BASE_ASSET,True,True
FXSUSDT_PERP.A,A,FXSUSDT,FXS,USDT,,True,True,STABLE,BASE_ASSET,True,True
CTKUSDT.6,6,CTKUSDT,CTK,USDT,,True,True,STABLE,BASE_ASSET,True,True
MASKUSDT.6,6,MASKUSDT,MASK,USDT,,True,True,STABLE,BASE_ASSET,True,True
STXUSDT.6,6,STXUSDT,STX,USDT,,True,True,STABLE,BASE_ASSET,True,True
DATAUSDT.6,6,DATAUSDT,DATA,USDT,,True,True,STABLE,BASE_ASSET,True,True
KLAYUSDT.6,6,KLAYUSDT,KLAY,USDT,,True,True,STABLE,BASE_ASSET,True,True
XRDUSDT.6,6,XRDUSDT,XRD,USDT,,True,True,STABLE,BASE_ASSET,True,True
1000PEPEUSDT.6,6,1000PEPEUSDT,1000PEPE,USDT,,True,True,STABLE,BASE_ASSET,True,True
CFXUSDT_PERP.A,A,CFXUSDT,CFX,USDT,,True,True,STABLE,BASE_ASSET,True,True
GUSDT_PERP.A,A,GUSDT,G,USDT,,True,True,STABLE,BASE_ASSET,True,True
USDCUSDT_PERP.A,A,USDCUSDT,USDC,USDT,,True,True,STABLE,BASE_ASSET,True,True
SKLUSDT.6,6,SKLUSDT,SKL,USDT,,True,True,STABLE,BASE_ASSET,True,True
PIXFIUSDT.6,6,PIXFIUSDT,PIXFI,USDT,,True,True,STABLE,BASE_ASSET,True,True
YFIUSDT.6,6,YFIUSDT,YFI,USDT,,True,True,STABLE,BASE_ASSET,True,True
RENUSDT.6,6,RENUSDT,REN,USDT,,True,True,STABLE,BASE_ASSET,True,True
SLFUSDT.6,6,SLFUSDT,SLF,USDT,,True,True,STABLE,BASE_ASSET,True,True
BSWUSDT.6,6,BSWUSDT,BSW,USDT,,True,True,STABLE,BASE_ASSET,True,True
CFXUSDT.6,6,CFXUSDT,CFX,USDT,,True,True,STABLE,BASE_ASSET,True,True
LTCUSDC_PERP.A,A,LTCUSDC,LTC,USDC,,True,True,STABLE,BASE_ASSET,True,True
CTSIUSDT.6,6,CTSIUSDT,CTSI,USDT,,True,True,STABLE,BASE_ASSET,True,True
COREUSDT.6,6,COREUSDT,CORE,USDT,,True,True,STABLE,BASE_ASSET,True,True
STGUSDT.6,6,STGUSDT,STG,USDT,,True,True,STABLE,BASE_ASSET,True,True
SUIUSDT.6,6,SUIUSDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,True,True
ALPHAUSDT.6,6,ALPHAUSDT,ALPHA,USDT,,True,True,STABLE,BASE_ASSET,True,True
QIUSDT.6,6,QIUSDT,QI,USDT,,True,True,STABLE,BASE_ASSET,True,True
ETHWUSDT_PERP.A,A,ETHWUSDT,ETHW,USDT,,True,True,STABLE,BASE_ASSET,True,True
NTRNUSDT.6,6,NTRNUSDT,NTRN,USDT,,True,True,STABLE,BASE_ASSET,True,True
GLMRUSDT.6,6,GLMRUSDT,GLMR,USDT,,True,True,STABLE,BASE_ASSET,True,True
NEARUSDC_PERP.A,A,NEARUSDC,NEAR,USDC,,True,True,STABLE,BASE_ASSET,True,True
ANKRUSDT.6,6,ANKRUSDT,ANKR,USDT,,True,True,STABLE,BASE_ASSET,True,True
SUIUSDT_PERP.A,A,SUIUSDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,True,True
1000SATSUSDT_PERP.A,A,1000SATSUSDT,1000SATS,USDT,,True,True,STABLE,BASE_ASSET,True,True
RAREUSDT_PERP.A,A,RAREUSDT,RARE,USDT,,True,True,STABLE,BASE_ASSET,True,True
SYNUSDT.6,6,SYNUSDT,SYN,USDT,,True,True,STABLE,BASE_ASSET,True,True
FUNUSDT.6,6,FUNUSDT,FUN,USDT,,True,True,STABLE,BASE_ASSET,True,True
SYSUSDT.6,6,SYSUSDT,SYS,USDT,,True,True,STABLE,BASE_ASSET,True,True
BLURUSDT.6,6,BLURUSDT,BLUR,USDT,,True,True,STABLE,BASE_ASSET,True,True
